epoch,Train_Loss,Train_dice,Val_Loss,Val_dice,Val_Froc
1,0.5345,0.0004,0.5013,0.0,0.0
2,0.5009,0.0,0.5003,0.0,0.0
3,0.5003,0.0,0.5001,0.0,0.0
4,0.5003,0.0,0.5001,0.0,2.5136822019244065e-14
5,0.5002,0.0001,0.5001,0.0001,7.654801438778579e-14
6,0.5002,0.0001,0.5001,0.0001,1.6671648692931602e-13
7,0.5002,0.0001,0.5001,0.0001,2.1339945407904067e-13
8,0.5002,0.0001,0.5001,0.0001,2.423058083685632e-13
9,0.5002,0.0001,0.5001,0.0001,2.7385027341467064e-13
10,0.5002,0.0001,0.5001,0.0001,3.1146855228831394e-13
11,0.5002,0.0001,0.5001,0.0001,3.5222677779309273e-13
12,0.5002,0.0001,0.5001,0.0001,3.8181942773968843e-13
13,0.5002,0.0001,0.5001,0.0001,4.329262094459378e-13
14,0.5002,0.0001,0.5001,0.0001,4.3977011093395057e-13
15,0.5002,0.0001,0.5001,0.0001,4.4440541467909105e-13
16,0.5002,0.0001,0.5001,0.0001,4.857414905829107e-13
17,0.5002,0.0001,0.5001,0.0001,4.977353674047773e-13
18,0.5002,0.0001,0.5001,0.0001,5.07947780773601e-13
19,0.5002,0.0001,0.5001,0.0001,5.520680900249628e-13
20,0.5002,0.0001,0.5001,0.0001,5.651862501581943e-13
21,0.5002,0.0001,0.5001,0.0001,5.669060380567681e-13
22,0.5002,0.0001,0.5001,0.0001,5.694182750290547e-13
23,0.5002,0.0001,0.5001,0.0001,5.734040500075743e-13
24,0.5002,0.0001,0.5001,0.0001,5.891571465422739e-13
25,0.5002,0.0001,0.5001,0.0001,5.930282727268815e-13
26,0.5002,0.0001,0.5001,0.0001,7.128334873497171e-13
27,0.5002,0.0001,0.5001,0.0001,7.145378167893778e-13
28,0.5002,0.0001,0.5001,0.0001,7.164263555210204e-13
29,0.5002,0.0001,0.5001,0.0001,7.181558677367968e-13
30,0.5002,0.0001,0.5001,0.0001,7.200749485530932e-13
31,0.5002,0.0001,0.5001,0.0001,7.216805687967324e-13
32,0.5002,0.0001,0.5001,0.0001,7.233420641902755e-13
33,0.5002,0.0001,0.5001,0.0001,7.242669013091727e-13
34,0.5002,0.0001,0.5001,0.0001,7.258878896991008e-13
35,0.5003,0.0001,0.5001,0.0001,7.273109816138734e-13
